,Q,R,S,T
0,0.0,-0.8606788853726624,-1.0,-0.13932111462733765
1,0.0,-0.575214837566403,-1.0,0.575214837566403
2,1.0,-3.0826659916408774,-1.0,2.0826659916408774
3,0.0,-2.8991539738318073,-1.0,3.8991539738318073
4,0.0,-1.5541948409389645,-1.0,1.5541948409389645
5,1.0,-1.2735110849585491,-1.0,1.2735110849585491
6,0.0,-0.8351070728121195,-1.0,-0.1648929271878805
7,0.0,-2.015225773324151,-1.0,1.015225773324151
8,0.0,-0.9058983025497366,-1.0,0.9058983025497366
9,0.0,0.005117316879726275,-1.0,-0.005117316879726275
10,0.0,0.05737370016558374,-1.0,-1.0573737001655839
11,0.0,-2.1759957757020394,-1.0,2.1759957757020394
12,0.0,-2.4309190264471705,-1.0,1.4309190264471705
13,0.0,-0.4830629218055574,-1.0,0.4830629218055574
14,0.0,-2.6516249401761502,-1.0,1.6516249401761502
15,0.0,1.723872610637068,-1.0,-2.723872610637068
16,0.0,-1.3760700669153363,-1.0,1.3760700669153363
17,1.0,-1.144005969892985,-1.0,0.14400596989298498
18,1.0,-1.9207702658255141,-1.0,1.9207702658255141
19,0.0,-2.3938527448023272,-1.0,1.3938527448023272
20,0.0,-1.6334824424835728,-1.0,1.6334824424835728
21,0.0,-1.063924680143034,-1.0,0.06392468014303399
22,0.0,-0.7555162609992538,-1.0,0.7555162609992538
23,1.0,-0.5557838087315382,-1.0,-0.4442161912684618
24,0.0,-2.4579333054942327,-1.0,1.4579333054942327
25,1.0,-3.4062801793095936,-1.0,4.406280179309594
26,1.0,1.5036156906071982,-1.0,-2.503615690607198
27,0.0,0.45850401303571975,-1.0,-1.4585040130357196
28,0.0,-3.4094595057955237,-1.0,3.4094595057955237
29,0.0,-5.068746765060436,-1.0,6.068746765060436
30,0.0,-1.4106279289785797,-1.0,2.4106279289785797
31,0.0,-0.2618592482808231,-1.0,0.2618592482808231
32,0.0,-0.7577399805262981,-1.0,-0.2422600194737019
33,0.0,-0.30122799925244237,-1.0,-0.6987720007475576
34,1.0,-3.3239355690445667,-1.0,3.3239355690445667
35,0.0,0.6343737401290462,-1.0,0.36562625987095376
36,1.0,-1.0416133988931455,-1.0,1.0416133988931455
37,0.0,-0.7227296677809746,-1.0,-0.2772703322190254
38,0.0,-4.379007071171945,-1.0,3.3790070711719453
39,0.0,-1.6251900451254504,-1.0,0.6251900451254504
40,0.0,-0.9346066873095824,-1.0,-0.0653933126904176
41,0.0,0.9736564295602702,-1.0,-1.97365642956027
42,0.0,-0.018102111940950516,-1.0,-0.9818978880590494
43,0.0,0.3558003905504076,-1.0,-0.3558003905504076
44,0.0,-4.759559823019933,-1.0,4.759559823019933
45,1.0,-1.0106422434352096,-1.0,1.0106422434352096
46,0.0,-1.7260531295120105,-1.0,0.7260531295120105
47,0.0,-1.3243088458550138,-1.0,0.32430884585501385
48,0.0,-0.34529335018679297,-1.0,-0.654706649813207
49,0.0,-0.4643233886743877,-1.0,-0.5356766113256123
50,0.0,-0.6645668214162326,-1.0,0.6645668214162326
51,0.0,0.9965405095977621,-1.0,-0.9965405095977621
52,1.0,-1.0888509468432295,-1.0,2.0888509468432295
53,0.0,-3.526798891324703,-1.0,2.526798891324703
54,0.0,-0.18238804761715444,-1.0,-0.8176119523828456
55,0.0,0.7878452821439892,-1.0,-1.7878452821439892
56,0.0,-4.613845097706805,-1.0,3.613845097706805
57,0.0,-0.5840447636328416,-1.0,-0.41595523636715837
58,0.0,1.1448789978299598,-1.0,-2.14487899782996
59,0.0,-3.1063082849469446,-1.0,2.1063082849469446
60,0.0,-1.103249398629165,-1.0,1.103249398629165
61,1.0,-3.35501790116358,-1.0,3.35501790116358
62,0.0,-3.452598282505714,-1.0,2.452598282505714
63,0.0,-0.9765495214590086,-1.0,-0.02345047854099136
64,0.0,-1.4195510849652004,-1.0,0.41955108496520044
65,0.0,0.42660779415502337,-1.0,-0.42660779415502337
66,0.0,-0.9986928899834719,-1.0,-0.001307110016528057
67,0.0,-0.835862400156951,-1.0,0.835862400156951
68,0.0,-0.06859402819710181,-1.0,-0.9314059718028982
69,0.0,-1.5032224372249832,-1.0,0.5032224372249832
70,0.0,-4.316050452013547,-1.0,5.316050452013547
71,0.0,-0.8527541237536147,-1.0,-0.1472458762463853
72,0.0,-3.318247295579554,-1.0,3.318247295579554
73,0.0,-0.02126960810806977,-1.0,1.0212696081080699
74,0.0,-5.530755635368672,-1.0,5.530755635368672
75,0.0,0.38411173562692025,-1.0,0.6158882643730798
76,1.0,-2.4191153579431073,-1.0,1.4191153579431073
77,0.0,0.9911872487641323,-1.0,-1.9911872487641324
78,0.0,-3.7804961186910457,-1.0,2.7804961186910457
79,0.0,-2.0854825217208908,-1.0,1.0854825217208908
80,1.0,-0.49416411825075846,-1.0,0.49416411825075846
81,1.0,0.10131813581729288,-1.0,0.8986818641827071
82,0.0,-2.8502018709164734,-1.0,3.8502018709164734
83,0.0,0.8115475934555685,-1.0,0.18845240654443152
84,1.0,-1.6469103541462005,-1.0,0.6469103541462005
85,0.0,-2.6247932593986043,-1.0,3.6247932593986043
86,0.0,-1.5594065557826529,-1.0,0.5594065557826529
87,0.0,-1.6455459450191414,-1.0,1.6455459450191414
88,0.0,-4.270033866633087,-1.0,3.270033866633087
89,0.0,-1.8835265171113384,-1.0,0.8835265171113384
90,1.0,-1.3725999295567557,-1.0,0.3725999295567557
91,0.0,-5.200890341059383,-1.0,5.200890341059383
92,1.0,-0.29273458185163137,-1.0,-0.7072654181483686
93,0.0,-2.7299464125527737,-1.0,2.7299464125527737
94,0.0,-2.908248651584364,-1.0,1.9082486515843642
95,0.0,1.642127252432584,-1.0,-2.642127252432584
96,0.0,-3.8736480281983248,-1.0,2.8736480281983248
97,0.0,-1.1694581341958568,-1.0,0.16945813419585676
98,0.0,-0.5384373862735162,-1.0,1.5384373862735163
99,0.0,0.8236169369980813,-1.0,-1.8236169369980813
100,0.0,-2.4340861054323826,-1.0,2.4340861054323826
101,0.0,-3.230104204801793,-1.0,2.230104204801793
102,0.0,-0.6275929121670843,-1.0,-0.37240708783291565
103,0.0,1.1919532452828565,-1.0,-2.1919532452828565
104,1.0,-0.5971156175355925,-1.0,-0.4028843824644075
105,1.0,-3.4950807118485367,-1.0,2.4950807118485367
106,0.0,-3.174403510227516,-1.0,4.174403510227516
107,0.0,-3.6687106514673697,-1.0,3.6687106514673697
108,0.0,-0.5737789639071407,-1.0,0.5737789639071407
109,0.0,-1.1515283068757736,-1.0,0.15152830687577357
110,0.0,-1.751671558184737,-1.0,0.7516715581847371
111,0.0,-1.1862294678852894,-1.0,0.18622946788528938
112,0.0,-2.613103232170881,-1.0,1.613103232170881
113,1.0,-3.3128704926955264,-1.0,2.3128704926955264
114,1.0,1.2389842153888213,-1.0,-1.2389842153888213
115,0.0,-0.7324855563047861,-1.0,0.7324855563047861
116,0.0,-0.8489260711554633,-1.0,-0.15107392884453674
117,1.0,-2.16154987565127,-1.0,2.16154987565127
118,1.0,-1.229546757388722,-1.0,1.229546757388722
119,1.0,-0.8085156363892536,-1.0,0.8085156363892536
120,0.0,-4.618592330647492,-1.0,3.618592330647492
121,0.0,-1.89976469304983,-1.0,2.89976469304983
122,0.0,-2.4898481951573435,-1.0,2.4898481951573435
123,0.0,3.213150177334678,-1.0,-3.213150177334678
124,0.0,-1.155927687188902,-1.0,1.155927687188902
125,0.0,-2.4755580934885315,-1.0,2.4755580934885315
126,0.0,-2.3170303298866717,-1.0,1.3170303298866717
127,0.0,-2.6961733147082425,-1.0,2.6961733147082425
128,0.0,0.08716404606006206,-1.0,-0.08716404606006206
129,0.0,-1.078754907579103,-1.0,0.07875490757910297
130,0.0,0.12984163012693717,-1.0,0.8701583698730628
131,0.0,-2.3460479932592135,-1.0,2.3460479932592135
132,0.0,-1.4471841023881207,-1.0,1.4471841023881207
133,0.0,-1.5956646455183967,-1.0,1.5956646455183967
134,0.0,-0.2733289128051639,-1.0,-0.7266710871948361
135,0.0,-2.943398675483774,-1.0,1.943398675483774
136,0.0,-0.35409056435783115,-1.0,1.3540905643578312
137,1.0,-2.421712165426744,-1.0,2.421712165426744
138,0.0,-0.08643738291520175,-1.0,1.0864373829152019
139,0.0,-1.3962923660195539,-1.0,2.396292366019554
140,0.0,-0.8132424208003195,-1.0,-0.1867575791996805
141,0.0,-1.306377300796656,-1.0,1.306377300796656
142,0.0,-2.933766282634941,-1.0,2.933766282634941
143,0.0,0.24639644713164344,-1.0,-1.2463964471316435
144,1.0,-0.5463251738825533,-1.0,-0.4536748261174467
145,1.0,0.34024833788966946,-1.0,-0.34024833788966946
146,0.0,-2.2563508231317746,-1.0,2.2563508231317746
147,0.0,-2.348772601097654,-1.0,2.348772601097654
148,0.0,-0.6602758542832476,-1.0,0.6602758542832476
149,0.0,-0.03521247012269052,-1.0,-0.9647875298773094
150,1.0,-0.8765316612820695,-1.0,1.8765316612820695
151,0.0,-0.5260251376406226,-1.0,0.5260251376406226
152,0.0,-1.5345524401252908,-1.0,0.5345524401252908
153,0.0,-1.5446330723039021,-1.0,1.5446330723039021
154,0.0,-2.283016458339483,-1.0,1.2830164583394832
155,1.0,-3.0695910521195087,-1.0,4.069591052119509
156,0.0,-0.7041214878743067,-1.0,-0.29587851212569327
157,0.0,0.5931719805212776,-1.0,-1.5931719805212776
158,0.0,-1.5650732050350407,-1.0,2.5650732050350404
159,1.0,-1.8945990126553236,-1.0,0.8945990126553236
160,0.0,0.20513564871016232,-1.0,-1.2051356487101623
161,1.0,-1.5392701852098134,-1.0,0.5392701852098134
162,0.0,-3.3110553780084984,-1.0,2.3110553780084984
163,1.0,-2.943150838973712,-1.0,2.943150838973712
164,0.0,-1.398880990792114,-1.0,0.39888099079211403
165,1.0,-0.2987309674849056,-1.0,0.2987309674849056
166,0.0,-3.3258289651993462,-1.0,2.3258289651993462
167,0.0,-1.9335719555294584,-1.0,0.9335719555294584
168,0.0,-4.53651133029211,-1.0,4.53651133029211
169,0.0,-1.188427875354888,-1.0,0.18842787535488803
170,1.0,1.0889337238200767,-1.0,-1.0889337238200767
171,0.0,-3.120238331317684,-1.0,4.120238331317684
172,0.0,0.009948389522587253,-1.0,0.9900516104774127
173,0.0,0.39583569578052585,-1.0,-0.39583569578052585
174,0.0,-1.3505920484244074,-1.0,1.3505920484244074
175,0.0,-0.839141136947223,-1.0,-0.16085886305277697
176,1.0,-1.1114511382811427,-1.0,0.11145113828114273
177,0.0,-2.4583384903181797,-1.0,2.4583384903181797
178,0.0,0.14708000480662364,-1.0,-0.14708000480662364
179,0.0,-2.0487101577913216,-1.0,3.0487101577913216
